pqn1, pqn2,l1,                 l2, E1, E2, delta E in R*Z m^-1,delta E in electron volts,delta E in Hz,is backwards?,degeneracy
44, 60,1,                 0, 5.340699E-04, 2.797325E-04, 2.543374E-04,3.460437E-03,8.367299E+11,0,3
52, 93,3,                 4, 3.699662E-04, 1.156203E-04, 2.543459E-04,3.460552E-03,8.367578E+11,0,63
35, 43,2,                 1, 8.139992E-04, 5.596374E-04, 2.543617E-04,3.460768E-03,8.368100E+11,0,15
52, 93,3,                 2, 3.699662E-04, 1.154961E-04, 2.544701E-04,3.462242E-03,8.371664E+11,0,35
47, 71,3,                 4, 4.528882E-04, 1.983733E-04, 2.545148E-04,3.462850E-03,8.373135E+11,0,63
51, 88,2,                 3, 3.837148E-04, 1.291619E-04, 2.545529E-04,3.463368E-03,8.374388E+11,0,35
50, 82,0,                 4, 4.033813E-04, 1.487210E-04, 2.546603E-04,3.464830E-03,8.377921E+11,0,9
52, 92,0,                 4, 3.728277E-04, 1.181474E-04, 2.546803E-04,3.465101E-03,8.378578E+11,0,9
53, 95,1,                 0, 3.659921E-04, 1.112948E-04, 2.546973E-04,3.465333E-03,8.379139E+11,0,3
53, 98,0,                 4, 3.588366E-04, 1.041233E-04, 2.547133E-04,3.465550E-03,8.379664E+11,0,9
47, 71,3,                 2, 4.528882E-04, 1.980942E-04, 2.547939E-04,3.466648E-03,8.382317E+11,0,35
50, 83,4,                 3, 4.000000E-04, 1.451943E-04, 2.548057E-04,3.466808E-03,8.382705E+11,0,63
27, 30,2,                 3, 1.366676E-03, 1.111860E-03, 2.548160E-04,3.466949E-03,8.383045E+11,0,35
36, 44,4,                 3, 7.716049E-04, 5.167661E-04, 2.548388E-04,3.467258E-03,8.383794E+11,0,63
50, 83,4,                 4, 4.000000E-04, 1.451589E-04, 2.548411E-04,3.467289E-03,8.383868E+11,0,270071
50, 80,1,                 0, 4.119175E-04, 1.570736E-04, 2.548439E-04,3.467328E-03,8.383962E+11,0,3
47, 72,2,                 1, 4.517319E-04, 1.968654E-04, 2.548665E-04,3.467635E-03,8.384704E+11,0,15
48, 72,1,                 2, 4.475103E-04, 1.926336E-04, 2.548767E-04,3.467775E-03,8.385042E+11,0,15
43, 60,2,                 1, 5.395773E-04, 2.846490E-04, 2.549283E-04,3.468477E-03,8.386740E+11,0,15
50, 84,2,                 1, 3.992012E-04, 1.442143E-04, 2.549869E-04,3.469274E-03,8.388667E+11,0,15
50, 83,3,                 4, 4.001616E-04, 1.451589E-04, 2.550027E-04,3.469488E-03,8.389186E+11,0,63
40, 52,4,                 3, 6.250000E-04, 3.699662E-04, 2.550338E-04,3.469912E-03,8.390209E+11,0,63
49, 76,1,                 0, 4.291610E-04, 1.740909E-04, 2.550700E-04,3.470404E-03,8.391400E+11,0,3
36, 44,4,                 4, 7.716049E-04, 5.165289E-04, 2.550760E-04,3.470486E-03,8.391598E+11,0,103667
44, 62,0,                 1, 5.214950E-04, 2.663694E-04, 2.551255E-04,3.471159E-03,8.393226E+11,0,3
44, 62,2,                 3, 5.153570E-04, 2.602305E-04, 2.551265E-04,3.471173E-03,8.393260E+11,0,35
50, 83,3,                 2, 4.001616E-04, 1.449842E-04, 2.551774E-04,3.471866E-03,8.394934E+11,0,35
40, 52,4,                 4, 6.250000E-04, 3.698225E-04, 2.551775E-04,3.471867E-03,8.394937E+11,0,140811
48, 74,0,                 4, 4.378506E-04, 1.826150E-04, 2.552355E-04,3.472656E-03,8.396846E+11,0,9
46, 68,2,                 3, 4.715641E-04, 2.163272E-04, 2.552369E-04,3.472674E-03,8.396889E+11,0,35
53, 99,0,                 1, 3.588366E-04, 1.035490E-04, 2.552876E-04,3.473365E-03,8.398559E+11,0,3
48, 75,2,                 3, 4.331250E-04, 1.778257E-04, 2.552993E-04,3.473524E-03,8.398943E+11,0,35
53, 95,1,                 2, 3.659921E-04, 1.106868E-04, 2.553053E-04,3.473606E-03,8.399142E+11,0,15
51, 88,4,                 3, 3.844675E-04, 1.291619E-04, 2.553056E-04,3.473610E-03,8.399152E+11,0,63
53, 100,2,                 3, 3.553278E-04, 1.000202E-04, 2.553076E-04,3.473637E-03,8.399217E+11,0,35
51, 88,4,                 4, 3.844675E-04, 1.291322E-04, 2.553353E-04,3.474013E-03,8.400127E+11,0,286187
49, 79,2,                 3, 4.156444E-04, 1.602717E-04, 2.553727E-04,3.474523E-03,8.401359E+11,0,35
52, 93,0,                 1, 3.728277E-04, 1.174535E-04, 2.553743E-04,3.474544E-03,8.401409E+11,0,3
51, 89,2,                 1, 3.837148E-04, 1.283394E-04, 2.553754E-04,3.474559E-03,8.401446E+11,0,15
25, 27,0,                 4, 1.627223E-03, 1.371742E-03, 2.554804E-04,3.475988E-03,8.404902E+11,0,9
51, 88,3,                 4, 3.846198E-04, 1.291322E-04, 2.554876E-04,3.476086E-03,8.405138E+11,0,63
40, 52,3,                 4, 6.253157E-04, 3.698225E-04, 2.554933E-04,3.476163E-03,8.405324E+11,0,63
36, 44,3,                 4, 7.720381E-04, 5.165289E-04, 2.555092E-04,3.476379E-03,8.405847E+11,0,63
51, 87,0,                 4, 3.876534E-04, 1.321178E-04, 2.555355E-04,3.476738E-03,8.406715E+11,0,9
39, 50,2,                 3, 6.557796E-04, 4.001616E-04, 2.556180E-04,3.477860E-03,8.409428E+11,0,35
51, 88,3,                 2, 3.846198E-04, 1.289856E-04, 2.556342E-04,3.478081E-03,8.409962E+11,0,35
50, 83,0,                 1, 4.033813E-04, 1.477414E-04, 2.556399E-04,3.478158E-03,8.410148E+11,0,3
24, 26,4,                 3, 1.736111E-03, 1.480440E-03, 2.556712E-04,3.478584E-03,8.411179E+11,0,63
37, 46,2,                 3, 7.284900E-04, 4.727974E-04, 2.556926E-04,3.478875E-03,8.411882E+11,0,35
49, 78,0,                 4, 4.200862E-04, 1.643655E-04, 2.557206E-04,3.479256E-03,8.412804E+11,0,9
47, 69,1,                 0, 4.670622E-04, 2.113243E-04, 2.557379E-04,3.479492E-03,8.413374E+11,0,3
50, 80,1,                 2, 4.119175E-04, 1.560549E-04, 2.558626E-04,3.481188E-03,8.417475E+11,0,15
52, 94,2,                 3, 3.691123E-04, 1.131977E-04, 2.559146E-04,3.481895E-03,8.419186E+11,0,35
46, 68,0,                 1, 4.769345E-04, 2.209729E-04, 2.559615E-04,3.482534E-03,8.420730E+11,0,3
45, 65,2,                 3, 4.927316E-04, 2.367600E-04, 2.559716E-04,3.482671E-03,8.421062E+11,0,35
53, 100,4,                 3, 3.559986E-04, 1.000202E-04, 2.559784E-04,3.482763E-03,8.421284E+11,0,63
53, 100,4,                 4, 3.559986E-04, 1.000000E-04, 2.559986E-04,3.483038E-03,8.421949E+11,0,320315
30, 35,2,                 1, 1.107417E-03, 8.514052E-04, 2.560114E-04,3.483213E-03,8.422371E+11,0,15
53, 100,3,                 4, 3.561343E-04, 1.000000E-04, 2.561343E-04,3.484885E-03,8.426414E+11,0,63
48, 75,4,                 3, 4.340278E-04, 1.778257E-04, 2.562021E-04,3.485807E-03,8.428645E+11,0,63
40, 52,3,                 2, 6.253157E-04, 3.691123E-04, 2.562034E-04,3.485825E-03,8.428688E+11,0,35
49, 79,4,                 3, 4.164931E-04, 1.602717E-04, 2.562214E-04,3.486070E-03,8.429280E+11,0,63
53, 100,3,                 2, 3.561343E-04, 9.990007E-05, 2.562342E-04,3.486244E-03,8.429701E+11,0,35
48, 75,4,                 4, 4.340278E-04, 1.777778E-04, 2.562500E-04,3.486459E-03,8.430220E+11,0,239675
49, 76,1,                 2, 4.291610E-04, 1.729026E-04, 2.562583E-04,3.486572E-03,8.430495E+11,0,15
49, 79,4,                 4, 4.164931E-04, 1.602307E-04, 2.562624E-04,3.486627E-03,8.430628E+11,0,254571
46, 68,4,                 3, 4.725898E-04, 2.163272E-04, 2.562626E-04,3.486630E-03,8.430633E+11,0,63
44, 62,4,                 3, 5.165289E-04, 2.602305E-04, 2.562985E-04,3.487118E-03,8.431815E+11,0,63
46, 68,4,                 4, 4.725898E-04, 2.162630E-04, 2.563268E-04,3.487504E-03,8.432747E+11,0,211647
51, 88,0,                 1, 3.876534E-04, 1.312974E-04, 2.563560E-04,3.487901E-03,8.433707E+11,0,3
52, 90,1,                 0, 3.804080E-04, 1.240349E-04, 2.563731E-04,3.488133E-03,8.434269E+11,0,3
44, 62,4,                 4, 5.165289E-04, 2.601457E-04, 2.563832E-04,3.488272E-03,8.434604E+11,0,185891
45, 65,0,                 1, 4.984687E-04, 2.420831E-04, 2.563856E-04,3.488303E-03,8.434680E+11,0,3
48, 75,3,                 4, 4.342105E-04, 1.777778E-04, 2.564327E-04,3.488945E-03,8.436231E+11,0,63
49, 79,3,                 4, 4.166649E-04, 1.602307E-04, 2.564341E-04,3.488964E-03,8.436278E+11,0,63
38, 48,2,                 3, 6.907019E-04, 4.342105E-04, 2.564915E-04,3.489744E-03,8.438164E+11,0,35
49, 80,2,                 1, 4.156444E-04, 1.591355E-04, 2.565090E-04,3.489982E-03,8.438740E+11,0,15
46, 68,3,                 4, 4.727974E-04, 2.162630E-04, 2.565344E-04,3.490328E-03,8.439577E+11,0,63
48, 75,0,                 1, 4.378506E-04, 1.812829E-04, 2.565677E-04,3.490781E-03,8.440672E+11,0,3
45, 63,1,                 0, 5.102153E-04, 2.536408E-04, 2.565746E-04,3.490875E-03,8.440898E+11,0,3
52, 95,2,                 1, 3.691123E-04, 1.125227E-04, 2.565896E-04,3.491080E-03,8.441393E+11,0,15
51, 85,1,                 0, 3.956927E-04, 1.390947E-04, 2.565980E-04,3.491193E-03,8.441667E+11,0,3
44, 62,3,                 4, 5.167661E-04, 2.601457E-04, 2.566205E-04,3.491499E-03,8.442408E+11,0,63
52, 94,4,                 3, 3.698225E-04, 1.131977E-04, 2.566248E-04,3.491558E-03,8.442550E+11,0,63
48, 76,2,                 1, 4.331250E-04, 1.764981E-04, 2.566269E-04,3.491586E-03,8.442619E+11,0,15
49, 79,3,                 2, 4.166649E-04, 1.600281E-04, 2.566368E-04,3.491721E-03,8.442944E+11,0,35
52, 94,4,                 4, 3.698225E-04, 1.131734E-04, 2.566491E-04,3.491889E-03,8.443350E+11,0,302931
48, 75,3,                 2, 4.342105E-04, 1.775410E-04, 2.566695E-04,3.492166E-03,8.444021E+11,0,35
36, 44,3,                 2, 7.720381E-04, 5.153570E-04, 2.566811E-04,3.492324E-03,8.444402E+11,0,35
44, 60,1,                 2, 5.340699E-04, 2.773154E-04, 2.567545E-04,3.493323E-03,8.446818E+11,0,15
